Мощность,"140 л.с., налог"
Коробка передач,робот
Привод,передний
Цвет,белый
"Пробег, км",100 897
Руль,левый
Поколение,"2 поколение, рестайлинг"
"Продажа BMW X1, 2019 год в Москве",2 400 000 ₽,Двигатель,"бензин, 1.5 л"
Мощность,"140 л.с., налог"
Коробка передач,робот
Привод,передний
Цвет,белый
"Пробег, км",108 831
Руль,левый
Поколение,"2 поколение, рестайлинг"
"Продажа BMW X1, 2019 год в Москве",2 250 000 ₽,Двигатель,"бензин, 1.5 л"
Мощность,"140 л.с., налог"
Коробка передач,робот
Привод,передний
Цвет,белый
"Пробег, км",107 531
Руль,левый
Поколение,"2 поколение, рестайлинг"
"Продажа BMW X1, 2019 год в Москве",2 250 000 ₽,Двигатель,"бензин, 1.5 л"
Мощность,"140 л.с., налог"
Коробка передач,робот
Привод,передний
Цвет,белый
"Пробег, км",106 616
Руль,левый
Поколение,"2 поколение, рестайлинг"
"Продажа BMW X1, 2019 год в Москве",2 250 000 ₽,Двигатель,"бензин, 1.5 л"
Мощность,"140 л.с., налог"
Коробка передач,робот
Привод,передний
Цвет,белый
"Пробег, км",98 590
Руль,левый
Поколение,"2 поколение, рестайлинг"
"Продажа BMW X1, 2012 год в Новороссийске",820 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,серебристый
Руль,левый
Поколение,1 поколение
Комплектация,xDrive 20i AT Базовая 
"Продажа BMW X1, 2019 год в Москве",2 250 000 ₽,Двигатель,"бензин, 1.5 л"
Мощность,"140 л.с., налог"
Коробка передач,робот
Привод,передний
Цвет,белый
"Пробег, км",102 293
Руль,левый
Поколение,"2 поколение, рестайлинг"
"Продажа BMW 5-Series, 2019 год в Краснодаре",3 350 000 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"190 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,синий
"Пробег, км",61 000
Руль,левый
Поколение,7 поколение
"Продажа BMW 3-Series, 2007 год в Сургуте",750 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"150 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,синий
"Пробег, км",218 300
Руль,левый
Поколение,5 поколение
"Продажа BMW X3, 2014 год в Краснодаре",2 400 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"249 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",183 000
Руль,левый
Поколение,"2 поколение, рестайлинг"
"Продажа BMW X5, 2017 год в Новосибирске",2 800 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"218 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",182 041
Руль,левый
Поколение,3 поколение
Комплектация,xDrive 25d AT Business
"Продажа BMW 1-Series, 2012 год в Симферополе",1 050 000 ₽,Двигатель,"бензин, 1.6 л"
Мощность,"136 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,хэтчбек 5 дв.
Цвет,серый
"Пробег, км",118 000
Руль,левый
Поколение,2 поколение
"Продажа BMW X3, 2011 год в Новосибирске",1 570 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"258 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,серебристый
"Пробег, км",219 000
Руль,левый
Поколение,2 поколение
Комплектация,xDrive 28i AT Lifestyle
"Продажа BMW 5-Series, 1999 год в Ростове-на-Дону",290 000 ₽,Двигатель,"бензин, 2.5 л"
Мощность,"170 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
